"company","domain","country","town","q1_verdict","tool_level","q1_rank","sell_angle","tool_evidence","q1_category","q1_reason","niche","source","Annual Revenue","Size","Industry","Description"
"ANGAISA","angaisa.it","IT","MILANO","OUT","","","","","wrong business","magazine, trade fair or association. Nobody here buys a tool","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","2-10 employees","Market Research","ANGAISA è l’Associazione nazionale di categoria dei distributori italiani che operano nel settore idrotermosanitario. Costituita nel 1956, ANGAISA aderisce a Confcommercio, Federcostruzioni e alla federazione europea di Settore FEST (European Federation of the Sanitary and Heating Wholesale Trade), collaborando con le più rappresentative associazioni di riferimento del comparto edilizio e del mondo dell’impiantistica.

ANGAISA associa 230 aziende distributrici in qualità di Soci Ordinari, con oltre 1.100 punti vendita su tutto il territorio nazionale (ripartiti in 16 sezioni regionali), che rappresentano il 40% dell’intero fatturato della distribuzione idrotermosanitaria italiana, con 15.000 addetti circa. Aderiscono inoltre ad ANGAISA 9 gruppi d’acquisto e 150 aziende produttrici in qualità di Soci Sostenitori.

Nell'ottobre 2025 Maurizio Lo Re è stato confermato alla carica di Presidente nazionale per il quadrienio 2026 - 2029. Fanno inoltre parte del Comitato Esecutivo ANGAISA: Giuseppe Agoglitta, Lorenzo Corsini, Riccardo Fiorentini, Elisa Giussani (Vicepresidente), Ezio Maja, Antonio Miele (Amministratore), Corrado Novelli, Giulia Orsolini, Andrea Paolini e Gunther Waibl.
Corrado Oppizzi è il Segretario Generale dell’Associazione. 

Per informazioni relative ai servizi riservati ai Soci e alle modalità di adesione: www.angaisa.it - info@angaisa.it"
"ANKA SERAMIK","ankaseramik.com.tr","TR","ANKARA","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","501-1,000 employees","Wholesale Building Materials","2007 yılında ""TOPRAĞIN HAYALİ""ni gerçekleştirmek için Eskişehir - Çifteler’deki modern tesislerimizde su ile yoğurduğumuz toprağa, önce sanat katıp renk ve şekil verdik sonra ateşle kucaklaştırıp arka yüzüne ANKA SERAMİK logosunu işledik.

25x40 cm’den 80x160 cm’ye kadar, muhtelif ebatlardan oluşan yer, duvar ve sırlı porselen karolarını, modern tesislerimizde, en son teknoloji altında üreterek her yıl büyüyoruz.

“Tüketicilerimizin hayallerine yetişmek için” yaptığımız ilave yatırımlar ile birlikte yılda 18.000.000.- m2’ye çıkan yıllık üretimimiz, TS EN ISO 9001 kalite yönetim anlayışı, TS EN ISO 14001 çevre yönetim bilinci, TS ISO 45001 iş sağlığı ve iş güvenliği sorumluluğu, TS EN ISO 50001 enerji verimliliği, TSE ve Avrupa EN kalite standart ve normları ile ANKA SERAMİK markası altında sunulmakta ve 62 ülkede alıcı bulmaktadır."
"APAVISA PORCELANICO","apavisa.com","ES","SAN JUAN DE MORO","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Wholesale Building Materials","Apavisa porcelanico, is the foremost manufacturer in the production and commercialization of high-technical porcelain. The plant location of apavisa porcelanico merges the ability of its highly technically qualified staff and the most advanced technology in a plant surface area of over 200,000 sqm.
Contact us: info@apavisa.com

With representatives in more that 90 countries, apavisa offers the global market a constantly appropriate and accurate reponse, as well as a product that gives professionals and consumers the confidence that every major project needs.

TECNOLOGY- INNOVATION- DESIGN- SERVICE

Apavisa has a permanent stock with an extensive range of products composed of:

5000+ Complements and special pieces
600+ Products
150+ Colours
15+ Formats
15+ Finishes

Six groups can be distinguished within these products:

STONE / CEMENT / WOOD / SOLID / METAL / ENCAUSTIC"
"ARBI ARREDOBAGNO","arbiarredobagno.it","IT","BRUGNERA","OUT","","","","","wrong medium","furniture or 3D ceramics. Engine renders flat patterns only","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Furniture","Arbi was founded in 1987, and since that time its production includes both modern and traditional models. These models can express with originality and imagination each bathroom space, giving a wide range of possibilities, in terms of possible compositions, allowing the addition of various accessories, materials and different complements that help to give a significant overall image of functionality and quality."
"ARCOM","arcombagno.com","IT","BRUGNERA","OUT","","","","","wrong medium","sanitaryware and bathroom fittings. 3D, explicit exclusion","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Furniture and Home Furnishings Manufacturing","Dal 2000 Arcom arreda la stanza da bagno con il suo esclusivo design Made in Italy, tecnologie altamente innovative e una continua ricerca di forme e materiali di tendenza.

Cabine doccia, vasche e mobili per il bagno, uniti a una selezione di complementi d'arredo, danno forma alle collezioni delle linee Arcom, Arcom Design e Aks."
"ARGENTA CERAMICA","argentaceramica.com","ES","VALL D'ALBA-CASTELLÓN","OUT","","","","","middleman","gate 3: reads as distributor, importer or retailer (wholesal) with no making language","Ceramic / Tile (verify)","Cersaie 2026","1B-10B","1,001-5,000 employees","Wholesale Building Materials","Argenta Cerámica has been gradually developing its own identity, positioning it self worldwide in a prominent position in the current ceramic scenario.

It all began in 1999 as a young, dynamic business adventure with the dream of developing a different ceramic concept to the existing at the time, and people friendly.

The #Friendlytile concept gave birth to a long-standing project in which we
wanted to share ideas and be closer to you. Talking about ceramics, working with people for people, at a time when the brand’s values were becoming humanised to bring about more direct, lively and real communication."
"ARKAIS-LLAC","arkais.es","ES","VILA-REAL","OUT","","","","","wrong medium","furniture or 3D ceramics. Engine renders flat patterns only","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Furniture and Home Furnishings Manufacturing","Empresa familiar con más de 25 años de experiencia en el sector del retail, interiorismo comercial y promoción cerámica con proyección nacional e internacional.

Nuestra obsesión por la calidad junto a la escucha activa de las necesidades de nuestros clientes nos posicionan como una de las empresas fabricantes capaz de ofrecer una mayor número de soluciones a nuestros clientes. Cada uno de nuestros proyectos los estudiamos y ejecutamos con precisión para obtener el máximo rendimiento.

En ARKAIS | LLAC contamos con dos plantas de producción donde con la tecnología y el saber hacer humano necesario para llevar a cabo nuevos retos e ilusionantes proyectos.

Orgullosos y apasionados por nuestro trabajo.

#RetailExperience"
"ARKLAM","ittceramic.com","ES","SANT JOAN DE MORÓ","OUT","","","","","middleman","gate 3: reads as distributor, importer or retailer (wholesal) with no making language","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Wholesale Building Materials","Our working philosophy is based on values of quality, innovation, experience and hard work. Quality is an inherent feature of ITT Ceramics.
Good work is our main goal. We can only achieve it through perseverance, enthusiasm and involvement. Innovation, in both technology and design
as well as the process of administration and organization,
is our company ́s best investment for the future. The experience of ITT Ceramic Group, with more than 35 years working in the ceramic industry, is an extra value when it comes to trust our company."
"ARVEX","arvexmosaic.com","IT","MONDOLFO","OUT","","","","","revenue","500K-1M is under the $1M gate (S7.4)","Ceramic / Tile (verify)","Cersaie 2026 + Coverings 2027","500K-1M","2-10 employees","Glass, Ceramics and Concrete Manufacturing","Arvex is an international company based in Mondolfo, Italy, and specialized in cladding and flooring.

We develop and distribute mosaics and tiles for kitchens, bathrooms, pools, interior and exterior walls in carefully selected materials such as glass, stone, marble, porcelain and vinyl. Our aim is to find the perfect combination between competitive prices and the best quality of the products, all in a unique style.

We cooperate with distributors all over the world, including the USA, Canada, Australia, Japan, India, Middle East and Europe and we also have a European Stocking Program stored in our Italian warehouse that includes a selection of the most exclusive and elegant mosaics, available in small quantities for cut orders and online selling.

Our skilled team is focused on customer satisfaction and attention to details. These are the features that allowed us to build long-term business relationships and that led us to 15 years of growth in the mosaic market worldwide."
"ASIAN GRANITO INDIA","aglasiangranito.com","IN","S.G. HIGHWAY, AHMEDABAD","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","500M-1B","1,001-5,000 employees","Building Materials","Asian Granito India Limited is today among the top four ceramic tile manufacturers in India and one of the most profitable company in its segment. Established in the year 2000, Asian Granito India Ltd (AGL) has emerged as about consolidated 1663 crore giant in the space-decor industry. In a short span of 24 years, we are among the top three ceramic companies of India with a global footprint across 100+ countries. We are one of the largest manufacturers of Vitrified, Wall & Floor tiles, Composite Marble and Quartz Stone and Bathware Products. Our world class products take shape in 14 plants in Gujarat.

The attribute of constantly innovating and 'leading the change' has made AGL one of the fastest growing ceramic companies in the space decor industry. The company's vision is to enhance customer satisfaction and its image worldwide so as to achieve exponential growth globally in ceramic and decor solutions."
"ASSOPOSA","assoposa.it","IT","SASSUOLO","OUT","","","","","middleman","gate 3: reads as distributor, importer or retailer (rivendit) with no making language","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","2-10 employees","Construction","ASSOPOSA nasce nel Settembre del 2013 con lo scopo, da un lato, di riconoscere e qualificare la professione del posatore piastrellista e, dall’altro, di promuovere il dialogo e la cooperazione tra i soggetti dell’intero settore ceramico: produttori di ceramiche, rivenditori, posatori, produttori di adesivi e attrezzature per la posa, committenti e direttori dei lavori di piastrellatura. ASSOPOSA punta a collegare l’intera catena produttiva, ponendosi come anello di completamento tra il prodotto semilavorato ed il pavimento posato visto come elemento d’arredo per il cliente finale."
"ATC COLORES","atc-colores.com","ES","ONDA","OUT","","","","","wrong business","glazes, inks, adhesives or sealants. Raw input, no pattern","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Chemical Manufacturing","At ATC Colores we have been manufacturing inorganic pigments for ceramic and glass decoration since 1985."
"ATELIER CASABELLA","ateliercasabella.com","IT","OSTRA","OUT","","","","","wrong medium","furniture or 3D ceramics. Engine renders flat patterns only","Ceramic / Tile (verify)","Cersaie 2026","","11-50 employees","Furniture and Home Furnishings Manufacturing","Atelier Casabella designs and produces solid wood lacquered skirtings and boiseries."
"AZERO BAGNI","azerobagni.com","IT","SERNAGLIA DELLA BATTAGLIA","OUT","","","","","wrong medium","sanitaryware and bathroom fittings. 3D, explicit exclusion","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Furniture and Home Furnishings Manufacturing","Raffinatezza, innovazione e competizione: queste sono le tre parole chiave che contraddistinguono Azero Bagni nel settore dell’arredo bagno.
L’azienda trevigiana propone idee rivoluzionarie e contemporanee ai propri clienti, garantendo massima qualità e tempestività del servizio.
Azero Bagni mette a disposizione degli acquirenti una vasta gamma di prodotti tra cui scegliere la soluzione che meglio risponde alle loro esigenze.
L’impresa vuole fare la differenza all’interno del settore dell'arredo bagno proponendo una scelta completa e competitiva di mobili, sanitari ed accessori immediatamente disponibili.
Grazie alla collaborazione con Vanita Docce srl, questa nuova e moderna impresa assicura da parte dei propri agenti di commercio un’esperienza ed una professionalità impareggiabili nel settore."
"AZZURRA CERAMICA","azzurraceramica.it","IT","CASTEL S. ELIA","OUT","","","","","revenue","500K-1M is under the $1M gate (S7.4)","Ceramic / Tile (verify)","Cersaie 2026","500K-1M","","Software Development","1985, Civita Castellana. Nasce AZZURRA Sanitari in Ceramica. Si mostra fin dalle origini come una solida realtà produttiva che ha saputo seguire le esigenze di un mercato in continuo mutamento, rispondendo con soluzioni pronte ed efficaci alle richieste dei consumatori. Risale al 1991 la definizione dell’ attuale assetto societario composto da quattro nuclei familiari. Nel 2001 una forte espansione la trasforma in s.p.a., con un capitale sociale di 2 milioni di euro. Oggi l'azienda è una piattaforma che conta circa 120 dipendenti con una superficie di circa 30.000 m2 e con una produzione di circa 300.000 pezzi l’anno, distribuiti non solo in Italia ma esportati in tutto il mondo. Dall’Europa ai vicini paesi extra CEE, dalla Russia all’Australia e all’America attraverso ben 35 paesi in ogni continente. Trasformare il concetto di bagno superando i semplici riti del mattino e della sera e rendendolo tutto da vivere, lasciando così posto a diverse forme di benessere e di relax. Oggi, questo, è un ambiente capace di rispecchiare gli stili di vita di un individuo e di svelarne quasi la personalità."
"Altura Stone","alturastoneandtile.com","US","Miami","OUT","","","","","hand-verified","LIKELY OUT on the 14 Sept research: LIKELY OUT. Its own strapline is Importer and Distributer of Natural Stone. Family owned since 2007, stocks marble, limestone, travertine, onyx and granite in 100,000+ sq ft of warehouse across Miami,","Tile / Stone (verify)","Coverings 2027","10M-25M","11-50 employees","Wholesale","Altura Stone and Tile is a factory direct importer of the finest stone tile and slabs from around the world
We take pride in offering to our dealers only first quality tile and slabs while always identifying new trends and searching for new and exciting products


Our convenient warehouse locations with ready to ship inventory in Northeast OHIO and Atlanta GEORGIA areas enable Altura Stone & Tile to offer competitive freight rates and timely delivery to the Mid-West, Mid-Atlantic and East Coast dealers. 

For more information about becoming an Altura Stone and Tile dealer. Please contact your representative."
"Andean Stone Company- Simpatico Surfaces","andeanstonecompany.com","US","Hialeah","OUT","","","","","hand-verified","LIKELY OUT on the 14 Sept research: LIKELY OUT. The Miami sales, warehousing and logistics centre for Minera Roca Andina, a Peruvian quarry group, supplying travertine, limestone and marble from the high Andes. A distribution arm for a ","Tile / Stone (verify)","Coverings 2027","10M-25M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","Marble, mosaic, travertine, marble tile + mosaic tiles from Peru and the Andes."
"Arts Co., Ltd","","CN","Dongguan","OUT","","","","","hand-verified","LIKELY OUT on the 14 Sept research: LIKELY OUT. Resolves to Dongguan Arts Co., Ltd, established 2002 near the Foshan ceramics base, making recycled glass mosaic, ceramics, cement products and terrazzo. No company website found, trade pl","Tile / Stone (verify)","Coverings 2027","","","",""
"Asia Pacific Ceramic","asiapacificceramic.com","IN","Morbi","OUT","","","","","hand-verified","LIKELY OUT on the 14 Sept research: LIKELY OUT. Established 2001 in Morbi, 10 million sq m a year on Italian lines, ~70% exported. Volume porcelain slabs and tiles to a catalogue. Criterion 3 fails","Tile / Stone (verify)","Coverings 2027","5M-10M","11-50 employees","Building Materials","Asia Pacific Ceramic is high end ceramic tiles company in India established in 2001,Specialising in Ceramic Tiles, Porcelain Tiles & Porcelain Slabs.

We are using Italian technologies in our manufacturing units. We produce 10 million square meters annually & export almost 70% of our production.We have ISO,CE,EN Certifications & recognition of Export House from Indian Government. Our Company's first priority is Quality & Service & Satisfaction to customer.

Check Our Website for more details.

Thanks"
"BADEN HAUS","badenhaus.it","IT","CENTOBUCHI","OUT","","","","","wrong medium","furniture or 3D ceramics. Engine renders flat patterns only","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Furniture and Home Furnishings Manufacturing","A leading Italian company in the production of bathroom furnitures thanks to the very high technologies used in production processes.
The entire production process is developed in four plants located in Monteprandone, right in the center of Italy, covering a total area of 90,000 sq.mt.
Baden Haus products are today distributed in over 30 Countries all over the World."
"BALDOCER","baldocer.com","ES","VILAFAMES","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","200M-500M","501-1,000 employees","Wholesale Building Materials","BALDOCER
We are a company with over 30 years of experience in the production of ceramic tiles of highest quality."
"BASSANO PARQUET","bassanoparquet.com","IT","CASSOLA","OUT","","","","","hand-verified","LIKELY OUT on the 14 Sept research: name or domain suggests 'PARQUET'. Supplier, trader or wrong medium. Confirm on the site before spending credits","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","11-50 employees","Wholesale Building Materials","Bassano Parquet è stata fondata nel 1832 per produrre manici di frusta. L’azienda, con sede a Bassano del Grappa, nel tempo si è ingrandita fino a comprendere due segherie di resinosi importando tronchi di abete e larice da tutta Europa.

Da 15 anni, Bassano Parquet è specializzata nella produzione e creazione di pavimenti in legno prefiniti, a due e tre strati, dalle dimensioni di grande prestigio.

Bassano Parquet presenta oggi un catalogo ricco di oltre 16 essenze che impreziosiscono le collezioni nelle finiture più esclusive, verniciate, oliate, spazzolate, piallate a mano e termotrattate.

Innovazione e manualità artigianale caratterizzano i processi di lavorazione, punti di forza che, uniti alla flessibilità produttiva, permettono a Bassano Parquet di essere apprezzata in tutto il mondo.

Per ulteriori informazioni La invitiamo a visitare il nostro sito: www.bassanoparquet.com 
o inviare una mail al nostro indirizzo: info@bassanoparquet.com"
"BECRISA","becrisa.com","ES","ONDA","OUT","","","","","wrong medium","furniture or 3D ceramics. Engine renders flat patterns only","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Furniture and Home Furnishings Manufacturing","En Becrisa, creemos firmemente en el poder del agua. Es un recurso vital para la vida y una fuente inagotable de inspiración para nuestra empresa."
"BERTOLOTTO","bertolotto.com","IT","TORRE SAN GIORGIO","OUT","","","","","wrong medium","furniture or 3D ceramics. Engine renders flat patterns only","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Furniture and Home Furnishings Manufacturing","Bertolotto Porte SpA is an Italian company that is one of the world leaders in the design, manufacture and marketing of interior doors. They are produced in both classic and modern styles and feature environmentally-friendly high-tech designs that provide high levels of quality, and durability over time.
A high-tech production area of 50,000 square meters as well as outsourcing and joint ventures.
Annual production capacity of 250,000 doors - 1,000 doors per day - covering a wide area of Italian/Abroad market.
Depth of range: 16 collections for over 38,000 models of doors, 35 woods and 78 standard colours.

All our customers are very important people and our daily energies are all focused on providing them with a superior quality product at an affordable price. We pay the utmost attention to our customers’ expectations: they dream, plan and imagine their homes where they invest their time and resources. We are very proud to be a part of those dreams. For us a client is a person who allows us to create new jobs, innovate and invest all our resources on a daily basis so that we can improve our brand and spread it throughout the world. For us doors are not just objects, they are rather “made-to-measure ” one-off creations that will perfectly fit our customers’ houses and will reach out almost the perfection. 
We are honored to have a Made in Italy brand that concerns all the components, from raw materials to design and manufacturing: our product is entirely designed and manufactured in Italy. Original Bertolotto doors are the synthesis of the way we work and why we are successful. All of this thanks to the fact that customers trust us and they are more than 1.5 million households located in over 40 countries throughout the world."
"BMT","bmtbagni.it","IT","MONTECALVO IN FOGLIA","OUT","","","","","wrong medium","furniture or 3D ceramics. Engine renders flat patterns only","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Furniture and Home Furnishings Manufacturing","Since 1971 BMT has distinguished itself in the market thanks to its production of design furniture. An all-Italian history ... always on the look out for high quality standards, the selection of the best raw materials, the constant innovation of the entire production process, develops on an area of about 10,000 square meters within which, in order to guarantee the quality of the product, all the production stages take place. BMT's added value lies mainly in its success in achieving industrial production performances while still guaranteeing the craftsman-like attention to every tiny detail typical of Italian manufacturing, synonymous with creativity and tradition: in other words, genuine Italian excellence, expressed in bathroom furniture outstanding in looks, technology and convenience."
"BONZA","bonzavitrified.com","IN","MORBI","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","201-500 employees","Building Materials","Bonza Vitrified Pvt. Ltd. is an ISO-9001 & CE Certified Company that is engaged in the manufacture mainly of Digital HD Vitrified Tiles."
"BRANDONI RADIATORS","brandoni.com","IT","CASTELFIDARDO","OUT","","","","","wrong medium","furniture or 3D ceramics. Engine renders flat patterns only","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Furniture and Home Furnishings Manufacturing","Brandoni nasce nel 1989 come azienda di radiatori d'arredo nel design.
Da allora è cresciuta espandendo i propri confini in Francia, Germania, Spagna, Usa, Paesi Arabi.
Ha investito in diversi settori, tra i queli spicca il fotovoltaico dal 2003, e l'Engineering che si occupa di ricerca nel campo delle rinnovabili. La connessione tra tutte i marchi del Gruppo ha permesso a Brandoni di crescere e svilupparsi, nei diversi settori, grazie anche ai costanti investimenti realizzati nelle tecnologie e nella ricerca e sviluppo."
"BULBO","bulbo.it","IT","SASSUOLO","OUT","","","","","revenue","500K-1M is under the $1M gate (S7.4)","Ceramic / Tile (verify)","Cersaie 2026","500K-1M","2-10 employees","Interior Design","Bulbo is a producer of tailor-made projects on Silica (micro crystallized glass) & Keramite (ultra-slim finished ceramic slabs) through multi-disciplinary methods such as decorative arts, interior design, product design, traditional handcrafts, and modern techniques.
It evolves projects for private clients and companies with her creative vision. 
Its attention to detail and the combination of contemporary and traditional codes characterize its projects."
"Bestview International Company","bestviewintl.com","US","Glenview","OUT","","","","","hand-verified","LIKELY OUT on the 14 Sept research: LIKELY OUT. Self-describes as manufacturer AND importer of natural stone: granite, marble, onyx, travertine, slate in 100+ colours, plus countertops, vanities and mosaics. Six-time MIA Pinnacle winner","Tile / Stone (verify)","Coverings 2027","25M-75M","51-200 employees","Wholesale Building Materials","Bestview International is a leading manufacturer and importer, Six times MIA Pinnacle Award winner of natural stone products for both residential and commercial applications. 

We specialize in high-grade granite, marble, onyx, travertine, slate and other materials in more than 100 different colors. We offer the most comprehensive lines in the natural stone industry, including floor and wall tiles, prefabricated and customized kitchen countertops, bathroom vanity sets, stone veneer shower walls and stone shower bases, stone vessels, mosaics in marble, glass, slate and stainless steel and their combinations. 

We are proud to introduce a new line -- Kitchen and Bathroom Cabinetry with the finest wood quality and superior craftsmanship. 

With our state-of-the-art manufacture facilities, our goal is to provide our customers with high quality and extremely versatile products at the most competitive prices and the best service they deserve."
"Bluetone Ceramic","bluetoneceramic.com","IN","Morbi","OUT","","","","","hand-verified","LIKELY OUT on the 14 Sept research: LIKELY OUT. Established 2013, manufactures and exports porcelain floor tile from Morbi. Related entity Bluetone Impex is listed as a trader and wholesaler. Commodity catalogue","Tile / Stone (verify)","Coverings 2027","25M-75M","201-500 employees","Wholesale Building Materials","BLUETONE CERAMIC established in 2013 and engaged in the manufacturing and export of Porcelain Floor Tile from India. We constantly strive to make the live of people better and worth living by offering them a variety of tile with AAA grade quality with achieving ISO 9001:2015 and CE mark.

Bluetone producing the following sizes.

1200x1200mm, 1200x2400mm, 800x2400mm, 800x1600mm, 900x1800mm, 600x600mm, 800x800mm, 600x1200mm,  200x1200mm."
"CAPANNOLI","capannoli.it","IT","ASCIANO","OUT","","","","","wrong medium","joinery, trims, profiles, fixing systems, lighting or fireplaces. Not a designed flat surface","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Furniture","Capannoli produce dal 1946 accessori e complementi 
per il bagno.
Nata nel cuore della città medioevale di Siena, l’azienda ha 
una capillare distribuzione in tutta Italia ed esporta in oltre 
40 paesi del mondo mantenendo inalterati i valori di affidabilità e qualità che da sempre le vengono riconosciuti.

Oltre alle 22 collezioni declinabili in 32 differenti finiture arricchiscono l’offerta gli specchi, (rotondi e rettangolari, realizzabili nelle misure e nelle soluzioni di illuminazione) 
i tappeti (fatti in Italia, interamente in cotone di alta qualità, personalizzabili nei colori, disegni e forme) e la completano 
le linee di sgabelli, griglie doccia, accessori per hotel e 
per disabili.

*        *        *       *

Capannoli has been producing bathroom accessories and complements since 1946. Founded in the heart 
of the medieval city of Siena, the company has an extensive distribution network throughout Italy and exports to over 
40 countries worldwide, maintaining the values of reliability 
and quality for which it has always been recognized.

In addition to 22 collections available in 32 different finishes, the range is enriched by mirrors (round and rectangular, customizable in size and lighting solutions), 
rugs (made in Italy, entirely from high-quality cotton, customizable in colors, designs, and shapes), and completed by lines of stools, shower grids, hotel accessories, and items for the disabled."
"CARRODRAIN","carrodrain.com","BE","HEIST-OP-DEN-BERG","OUT","","","","","wrong medium","sanitaryware and bathroom fittings. 3D, explicit exclusion","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","11-50 employees","Manufacturing","Manufacturer of design shower drains for all types of floor finishes.

Each drain type is available in 10 colors to perfectly match your faucets."
"CASABELLA- MONDADORI MEDIA","casabellaweb.eu","IT","SEGRATE","OUT","","","","","wrong business","magazine, trade fair or association. Nobody here buys a tool","Ceramic / Tile (verify)","Cersaie 2026","500K-1M","2-10 employees","Architecture and Planning","«La Casa bella» was born in January 1928. At the start of 1933, Giuseppe Pagano changed its name to «Casabella», a change of direction that coincided with the magazine’s acquisition by «Domus». In 1938, the magazine’s name was changed to «Casabella Costruzioni», and in 1940, to «Costruzioni-Casabella». In December 1943, the magazine was suspended by the Italian ministry of popular culture. Two years later, the publisher Gianni Mazzocchi restructured the magazine, confiding it to Franco Albini and Giancarlo Palanti. In 1946, 3 issues of «Costruzioni» were published, including a monographic issue about Giuseppe Pagano. The magazine was further suspended from 1947 to 1953, and in January 1954 «Casabella-continuità» was born, under the direction of Ernesto Nathan Rogers. The magazine ran under this title until January 1965. From August 1965 to May 1970, Gian Antonio Bernasconi headed the magazine, whose name was converted back to «Casabella». Alessando Mendini took over from Bernasconi and in 1976 was replaced by Bruno Alfieri, who was director from April to December of that year. From January 1977, Gruppo Editoriale Electa took over the publication, which was headed by Tomás Maldonado until December 1981. Vittorio Gregotti took over as director in March 1982. The current director, Francesco Da Co, has been running the magazine since March 1996. Electa was absorbed by Mondadori and from April 2002, Arnoldo Mondadori Editore has been publishing the magazine."
"CASALGRANDE PADANA","casalgrandepadana.com","IT","CASALGRANDE","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","501-1,000 employees","Architecture and Planning","Casalgrande Padana has been manufacturing cutting-edge ceramic tiles for 60 years: innovative and environment-friendly solutions for the creation of coatings, floors and coatings capable of responding to any creative and technological requirement of the world of architecture and design.

However, Casalgrande Padana is not just a supplier, it gives pride of place to service and design consulting, with the highest executive and architectural standards in mind.

Casalgrande Padana adopts an industrial policy that is powerfully focussed on technological innovation and environmental sustainability. The Company is intensively engaged in research and experimentation for continuous product improvement in terms of appearance and performance. All its manufacturing, research and innovation take place in 100% Italian-based plants and laboratories.

Every stage in the process is constantly monitored: from the selection of the raw materials to storage; from the grinding of the blend to the mixing and cooking of the tiles; from the manufacturing process to quality control on the end products; from unfailing technical training to effective professional assistance, evidence of the Company’s efforts to improve its manufacturing processes and pursue the highest standards ever.

Entirely made of natural raw materials, Casalgrande Padana’s stoneware is manufactured through a closed-circuit process that stands out for an extremely low environmental impact. 

The Company’s ceramic products go far beyond the usual products you can find on the market, as they are fit for any purpose or type of building."
"CASAOGGIDOMANI","casaoggidomani.it","IT","MILANO","OUT","","","","","wrong business","trade magazine or publisher, not a maker","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","11-50 employees","Newspaper Publishing","Scopri Casaoggidomani.it - la casa dell'abitare contemporaneo.

Se sei appassionato di tecnologia e innovazione per la casa di domani, non puoi perderti Casaoggidomani.it! Siamo la tua guida completa per scoprire le ultime novità in fatto di casa intelligente, connessa e sostenibile.

Cosa Trovi su Casaoggidomani.it:

- Approfondimenti su domotica e IoT
- Recensioni di prodotti per una casa più smart
- Consigli su energie rinnovabili e risparmio energetico
- Idee per arredare in modo sostenibile e moderno

Chi Siamo:

Siamo una testata giornalistica registrata presso il Tribunale di Milano, impegnata nel fornire informazioni autorevoli e aggiornate sulle ultime tendenze nel mondo dell'abitare del futuro.

Perché Seguirci:

* Resta sempre aggiornato sulle ultime innovazioni per la casa
* Trova ispirazione per rendere la tua casa più efficiente e tecnologica
* Scopri soluzioni pratiche per un abitare moderno e sostenibile

Unisciti a noi su Casaoggidomani.it e preparati a trasformare la tua casa nel luogo ideale per il futuro!  

#CasaDelFuturo #Tecnologia #Innovazione #Sostenibilità #Casaoggidomani"
"CASTELLONPLAZA","castellonplaza.com","ES","VALENCIA","OUT","","","","","wrong business","trade magazine or publisher, not a maker","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","2-10 employees","Newspaper Publishing","Linkedin oficial del periódico Castellón Plaza."
