"company","domain","country","town","q1_verdict","tool_level","q1_rank","sell_angle","tool_evidence","q1_category","q1_reason","niche","source","Annual Revenue","Size","Industry","Description"
"NADIS DESIGN","nadisdesign.com","ES","BURRIANA","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Designer collections (Inma Bermudez, Francesc Rife) and an Fe collection 3D LIBRARY, which is BIM and 3D assets for specifiers, not a customer design tool","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","Del conocimiento del sector y la pasión por la decoración, nace NADIS DESIGN. Un concepto que diseña pavimentos y revestimientos de última tendencia y adecuados al estilo más contemporáneo.
En nuestras colecciones las sensaciones denotan expresión, sofisticación, coherencia y calidad.
Nuevos conceptos que trascienden a lo cotidiano adaptándose a la estética universal.
Detalles, materiales, acabados, siseo y pasión unidos al servicio total y a los máximos estándares requeridos en el mercado.

NADIS DESIGN cerámica cosmopolita."
"OPTIMUM SURFACES","optimumsurfaces.com","IT","SAVIGNANO SUL PANARO","CANDIDATE B","NONE","2-NONE","Downgrade on medium, same as Technolam and Infinity || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Large slabs with custom solutions via professional services. Much of the output is tabletops and furniture","in scope","bespoke/handmade language","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","11-50 employees","Design Services","Realizzare ciò che prima era solo immaginabile, ecco la visione che ha ispirato la nascita di Optimum Surfaces. 
Una lastra ceramica dalle dimensioni uniche per esprimere stile ed efficienza, dà vita a superfici in grès porcellanato che risolvono ogni compromesso tra estetica e performance, qualità ed efficienza. 

In uno scenario in cui stile, architettura e design sono in continua evoluzione, nasce Optimum Surfaces. Le grandi lastre in grès porcellanato Optimum Surfaces, rappresentano la fusione perfetta tra estetica e funzionalità: un risultato d’avanguardia mai raggiunto finora. Il formato unico e distintivo dei prodotti Optimum Surfaces – 1840×3300 mm – rappresenta, infatti, un’innovazione esclusiva: la più ampia lastra attualmente reperibile sul mercato.

Una nuova frontiera delle lastre in grès porcellanato, resa possibile da un grande programma di investimenti realizzato da Gruppo del Conca, di cui Optimum Surfaces fa parte, che si è basato su aspetti strategici fondamentali come sostenibilità ambientale, innovazione del prodotto, estetica senza compromessi ed efficienza del processo produttivo.

I prodotti Optimum Surfaces sono creati combinando tra loro un insieme di eccellenze assolute. Materie prime di altissima qualità, tecnologie all’avanguardia e fortemente improntate alla sostenibilità, design ricercato e una profonda cultura nella progettazione delle superfici.

Il risultato è una superficie di design ad alte prestazioni, senza precedenti per la sua capacità di adattarsi a tutte le richieste di progettazione e di arredo e di offrire soluzioni personalizzate per tutti i professionisti della filiera coinvolti."
"PANARIA CERAMICA","panaria.it","IT","FINALE EMILIA","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Collections and magazine articles. ZERO.3 thin slabs are a product","in scope","own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","Panaria Ceramica, founded in 1974, provides prestigious residential solutions with an extensive catalogue of rich collections, with a broad range of formats and decorative accessories for flooring and coverings as well as for outdoor areas. The deeply rooted ceramic culture and the continuous search for aesthetic excellence and quality result in versatile products, with a contemporary style. Panaria provides project solutions tailored to different needs, resulting in intimate and cosy interiors which exude a high aesthetic impact. Over the years the company has become a reference name for the ceramics industry, providing a full range of products which cover different market macro trends: stone, marble, cement and wood. The introduction of ultra-thin ceramic slabs ZER0.3 technology is proof of its constant attention to innovation.

Panaria Ceramica is part of Panariagroup Industrie Ceramiche S.p.A., an Italian multinational group, world leader in the production and distribution of ceramic surfaces for floor and wall coverings. With more than 1,700 employees, 10.000 customers, 7 production facilities (3 in Italy, 3 in Portugal, and 1 in the United States), Panariagroup is one of the main producers of flooring and wall covering ceramic tiles for the upper and luxury segment of the market."
"QUINTESSENZA CERAMICHE","quintessenzaceramiche.it","IT","FIORANO MODENESE","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Collections plus a merchandising and display system for professionals","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","La nostra Quintessenza

Nel nostro nome, Quintessenza Ceramiche, custodiamo il mistero antico di un’essenza pura e sottile, la quinta-essenza, ossia quella continua e vibrante tensione nella ricerca del più alto grado estetico e qualitativo, per noi inteso come massimo livello di espressione ceramica. Secondo Aristotele, e poi nell’astronomia antica, era l’etere, cioè il quinto elemento dopo acqua, aria, terra e fuoco.
Quintessenza Ceramiche è in grado di offrire una vasta gamma di prodotti ceramici di piccolo formato. Superfici che sono frutto della progettazione sviluppata come punto di incontro tra minimalismo e decorazione, tradizione e contemporaneità, estro creativo e rigore geometrico.

Il concept design di ogni collezione nasce in Italia, nel distretto ceramico sassolese, dove la cultura ceramica affonda le sue radici. Ogni progetto viene curato nei minimi dettagli ed è attraverso di esso che esprimiamo la nostra sensibilità curiosa e ricettiva. La costante ricerca creativa viene influenzata da alchimie formali e materiche che non smettono di entusiasmarci. 
Miscelare forme e colori, texture e superfici, materia e disegno, ecco quello che facciamo ogni giorno: la Ceramica viene utilizzata come mezzo per emozionare."
"REVIGRES","revigres.com","PT","BARRO-AGUEDA","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Nothing returned for the domain on this query. Verify the site resolves","in scope","own collections or trade-facing; also distributes, confirm the maker share; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Wholesale Building Materials","Founded in 1977, Revigrés is a world reference in ceramics, specialized in the production of wall and floor tiles.
A path of 46 years dedicated to anticipating design trends and comfort standards, offering innovative solutions that bring spaces to life, with the quality label of a 100% Portuguese company dedicated to the reinterpretation and modern expression of traditional tiles.
The investment in the most advanced technologies, the creation of exclusive design collections and the development of value-added ceramic products, together with a bet on a strong image, are the key factors that help promote the Brand worldwide. Currently, Revigrés is present in 50 countries.
Revigrés is also the only company in the portuguese wall and floor tiles sector to have a quadruple certification of its integrated management systems in terms of the following standards: Quality; Environment; Social Accountability; Research; Development and Innovation."
"SERENISSIMA","serenissima.re.it","IT","CASALGRANDE","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Collections and modular format guidance","in scope","own collections or trade-facing; revenue blank, manual review per S7.4; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","","201-500 employees","Glass, Ceramics and Concrete Manufacturing","Capostipite del Gruppo Romani, Serenissima si caratterizza per la qualità e l’originalità progettuale delle sue collezioni in grès porcellanato frutto di una costante ricerca estetica e tecnologica."
"SETTECENTO VALTRESINARO","settecento.com","IT","FIORANO MODENESE","CANDIDATE B","NONE","2-NONE","Decor-heavy manufacturer with a deep catalogue and no way to compose from it || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","A large cloud catalogue of decors and collections including hand-carved three-dimensional processes. No tool","in scope","bespoke/handmade language","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","_Passion for work and love for materials are our drive for creating with craftsmanship warm finishes. We design surfaces starting from hand made skills in order to dedicate the outmost care and accuracy to details. The industrial process is implementing and refining the product's perfection with best quality standards."
"StyleAccess","style-access.com","US","Carrollton","CANDIDATE B","NONE","2-NONE","Still the clean test of the 24 Aug S7.4 pivot: designs but does not manufacture, and has no tool || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Collections, samples request, get-inspired gallery and displays. StyleLAB is a product line, not a tool","in scope","hand-verified on 14 Sept: FLAG. The most arguable row on the list. An importer, DESIGNER and distributor that owns Lungarno Ceramics (2013, designer-led collections including handmade wall tile) and Commodi","Tile / Stone (verify)","Coverings 2027","10M-25M","11-50 employees","Wholesale Building Materials","StyleAccess has years of expertise in all aspects of the ceramic and porcelain tile industry. We are involved in all the phases of the design process and strive to be the first to develop cutting-edge and trendy series, while keeping the classic core products that are everyday sellers. 

Our wide distribution and supply chain network make us highly accessible to all parts of the United States and Canada. StyleAccess has two main brands, Lungarno Ceramics and CommodiTile, both of which offer customers these versatile products to fit any commercial or residential space."
"Terra Bella","terrabella.design","US","Clifton","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Stone mosaic collections: pART Deco, herringbone, basketweave, handclipped","in scope","hand-verified on 14 Sept: FLAG. Self-describes as manufacturer, importer AND US distributor of ceramic, stone and glass mosaic. All three roles in one sentence, so the maker share is unknown. Mosaic is on-n","Tile / Stone (verify)","Coverings 2027","10M-25M","11-50 employees","Wholesale Building Materials","Click to edit position description Terra Bella Marble is known for creating high quality, exceptionally designed marble mosaic products. Our attention to detail, quality control and customer service are core values of the company. We continuously develop innovative designs, observing trends in stone and color at the same time. The result is flawlessly executed tiles that range in style from classic to contemporary. Our products range from hand and machine cut marble mosaic floor and wall tiles to borders, accent pieces, and moldings (extensive stone selection in pencils and chair rails). We also carry large format tiles in a variety of sizes and finishes that complement our mosaics. We sell our products exclusively through our national dealer network."
"X-IS","wa-kei.com","JP","TAJIMI, GIFU","CANDIDATE B","NONE","2-NONE","Remember this row is the Cersaie maker X-IS, merged with Wakei & Company, its US stocking arm || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Japanese mosaic and tile product pages, chip mosaic and project references such as Conrad Tokyo. No tool","in scope","bespoke/handmade language; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026 + TCNA","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","X-iS Co.,Ltd. is a trading and tile manufacturing company based in Tajimi City, the heart of the Japanese tile industry. We specialize in custom tile production, decorative tiles, and mosaic art, and we also conduct research to develop tiles made from recycled materials.

Founded in 1997, we began exporting overseas ten years later, where the region's centuries-old craftsmanship and tile manufacturing techniques are highly valued. Today, exports account for 50% of our sales.

We have also launched Tajimi Custom Tiles, a program dedicated to producing tiles that perfectly align with our clients' needs. This initiative includes collaborations with renowned international artists such as Ronan Bouroullec and Max Lamb. Additionally, we proudly introduced EcoRevo, our line of recycled tiles made from over 91% waste materials, including urban refuse.

At X-iS, we are committed to promoting Japanese culture and lifestyle to the world through our diverse range of products that blend history, tradition, and cutting-edge technology."
"XIAMEN ELIN LANDO INDUSTRIAL CO.,LTD","elinlandomarble.com","CN","Xiamen","CANDIDATE B","NONE","2-NONE","NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","High-end marble and waterjet mosaics as pre-designed patterns. No tool","in scope","hand-verified on 14 Sept: FLAG. Built by Portia Guo in 2013-14 and describes itself as a SPECIALTY MANUFACTURER of high-end natural stone mosaic, field tile and countertops, booked at Verona and Coverings. ","Tile / Stone (verify)","Coverings 2027","25M-75M","201-500 employees","Import and Export","Elin Lando Marble & Mosaics is a manufacturer of high end fine marble tiles, water jet mosaic tiles, (and natural or raw stone?)
Our line has expanded to include marble (and raw stone (natural stone?) field tiles, moldings, slabs, and countertops. Our products are provided through high end distributors and wholesalers.    Elin Lando has grown rapidly due to our hard work, excellent quality control, and dedication to effective communication with and service to our clients."
"Zaijian Mosaic","zaijianmosaic.com","CN","Chengdu","CANDIDATE B","NONE","2-NONE","A pioneer of mosaic art in home decoration with no digital design surface at all || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Handmade mosaic art for high-end interiors since 1993, product and case pages only. No consumer-facing design tool","in scope","hand-verified on 14 Sept: PASS. Founded 1993 and one of the pioneers that brought MOSAIC ART into home decoration, now a significant force in global mosaic, doing stone mosaic, art mosaic and lava. Art mosa","Tile / Stone (verify)","Coverings 2027","0-500K","","Mining",""
"Dunis Studios","dunisstudios.com","US","Wimberley","CANDIDATE A","BASIC","3-BASIC","Three dropdowns is not a design step. Each tile is described as a small original abstract painting, which is impossible to choose from a list || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","A picker: choose a tile body (smooth or textured), choose a size, choose a colour. No room view, no pattern composition","in scope","hand-verified priority on 14 Sept: PASS priority. Designs and manufactures its own lines and sells through tile showrooms, which is the to-the-trade signal. Handmade ceramic, glass, mosaic and brick, 10-12 step proc","Decorative / Artisan Tile","TCNA","1M-5M","","","Dunis Studio produces tiles from deterministic to hyper in many materials, such as ceramics, bricks, shattered tile, and marble mosaics. In addition to chair rails, mirror frames, and crown moldings, they used a variety of other architectural elements."
"ECO CERAMICA","ecoceramica.com","IT","CASALGRANDE - S.ANTONINO","CANDIDATE A","BASIC","3-BASIC","Filters help you find a SKU. They do not help a client approve a bespoke composition || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","Search filters by effect, style and room, plus a stated ability to personalise formats, colours and finishes, handled as a consultation","in scope","bespoke/handmade language; own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","ECO Ceramica Group is an Italian manufacturer of floor and wall tiles, operating in the international market for over 30 years.

Eco Ceramica's products have a distinctive historical and aesthetic connotation, which represents, since the beginning, an element of identity in all collections.

Consecrated to the respect of the best tradition within the evolution of modern times, Eco Ceramica has developed several product lines, both industrially and by artisan process, offering solutions for different environmental moods.
The company's mission is the full satisfaction of the customer from an aesthetic point of view. 
The industrial production, in accordance with the industry trends, fulfills the values of practicality and functionality. 
The artistic and handcrafted lines with their manual decorations, give great attention to additional details, to satisfy emotional housing needs.

Since its founding, Eco Ceramica has invested in the continuous technological and artistic research of new products to meet the complex needs of a national and international audience, with aesthetic and decorative needs specific to both private and commercial environments. 
Eco Ceramica counts dozens of collections, including Maestri Ceramisti, Cementi Novecento, and Collezioni d’Autore, renowned throughout the industry for having forecasted and gone beyond the trends of the moment, being awarded by The American Ceramic Tile Academy, with the 2003 Top Tile Award in the Ceramic Floor category. 

Since its concept, the founder, under the name Eco Ceramica, has been inspired by respect for eco-sustainability principles throughout the production process, including, in artistic production, the use of purified clays and natural drying processes. 

The artisanal, handmade, artistic production completes and integrates the industrial collections with exclusive glazes, decorations and colors, including the copper, silver and selenium red effect.


https://www.ecoceramica.com/privacy.php"
"Jeffrey Court","jeffreycourt.com","US","Norco","CANDIDATE A","BASIC","3-BASIC","Needs an eyeball on hd.jeffreycourt.com before copy references their tooling. Do not claim they have none || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","No configurator found on the main site. A separate platform exists at hd.jeffreycourt.com; its function could not be confirmed from search","in scope","hand-verified priority on 14 Sept: PASS priority. Started in 1991 by Jim and Janice Lawson as a HAND-PAINTED tile business and still describes itself as producing high-end decorative mosaic tile, 30+ years on, distr","Tile / Stone (verify)","Coverings 2027","25M-75M","51-200 employees","Wholesale Building Materials","Jeffrey Court’s story is one of entrepreneurial spirit, love of craft and dedication to innovation. Founded in 1991 by Jim and Janice Lawson, they set out to bring their love for hand painted tiles to the mainstream market.

In true innovator style the Lawson’s discovered a way to permanently affix hand-painted designs as decals on ready-made tiles. Needless to say Jeffrey Court tiles grew in popularity. Soon homebuilders were looking to include Jeffrey Court in their designer upgrade options. It was at that point that the Trade sale division of Jeffrey Court was born.

Today, Jeffrey Court now operates two distinct divisions; Trade/Designer and Retail Sales who’s combined SKU count is over 3,000. The retail division’s focus is a series of main-stream value driven products available through purchase only at The Home Depot.

The Trade Sales Division focus is to bring cutting edge designer-minded products to the Architectural, Kitchen & Bath, and Interior Design communities alike. Our product designers work with a litany of interior designers, product developers, and industry insiders to deliver the very best products possible for our end consumers.

Since Jeffrey Court’s founding the cornerstone by which our products are built upon is our commitment to three core values: (1) Timeless & fashion forward design, (2) Constant product improvement, and (3) Dedication to our Trade & Retail Partners Success. This has allowed us to become leaders in the industry by: smartly combining different decorative elements, having a keen eye for inspired design, and a wide assortment of in-stock decorative tile, stone, glass and metals elements."
"LIVDEN","livden.com","US","San Diego","CANDIDATE A","BASIC","3-BASIC","The strongest kind of prospect: they already believe in visual selling (quiz, mood boards, Visualize It) but the CUSTOM path drops to an email address || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","A Style Quiz, tile mood boards, a Visualize It feature, and samples inside the Material Bank mood-board builder. Custom designs are handled by emailing Hello@LIVDEN.com","in scope","hand-verified priority on 14 Sept: PASS priority. Designs its own line of 50+ tile designs on upcycled post-consumer terrazzo bases, 65-100% recycled, made in the US. Designs in house and sells made-to-order. Strong","Decorative / Artisan Tile","TCNA","10M-25M","11-50 employees","Wholesale Building Materials","Imagine a world where art meets sustainability and recycled materials are at the forefront of every home. That's the world LIVDEN is creating.

The concept was to create fresh and innovative patterns in a way that utilized upcycled post-consumer materials, giving people an easy option to choose green.  For the last year, sisters Georgiana and Hilary have combined their complimentary skill sets to design an in-house tile line that is made from 65-100% recycled materials.  While potential company names have changed, their core values for the brand have not.  Since the creation of LIVDEN, its mission has always been based around three things: sustainability, accessibility and originality."
"AIXIN TECH.CO., LTD","ralartmosaictile.com","CN","Foshan","CANDIDATE B","BASIC","3-BASIC","They already sell printed mosaic murals, so the product fit is exact. The custom loop is a sales conversation. Tier 3 geography || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","5,000+ mosaic SKUs with customised services, inkjet-printed glass mosaic, wall mural art and mosaic murals. No self-serve tool surfaced","in scope","hand-verified on 14 Sept: FLAG. Trades as Ralart Mosaic, founded 2011, renamed Aixin Technology in Oct 2024. Range includes mosaic ARTS and mosaic MURALS alongside commodity glass and ceramic mosaic, so unl","Tile / Stone (verify)","Coverings 2027","10M-25M","51-200 employees","Wholesale Building Materials","Ralart Mosaic is a leading and professional supplier of glass mosaic, glass tile, ceramic mosaic, stone mosaic, shell mosaic, mosaic murals and affordable porcelain tile, wall tile and floor tile in Foshan, China. Our main market is USA, Europe, Australia, Africa, Middle East, Southeast Asia and South America etc. Fast shipping, premium quality, worth price and one-stop purchase are what we are proudly providing to clients."
"ARTO Brick & Tile","arto.com","US","Los Angeles","CANDIDATE B","BASIC","3-BASIC","Custom happens through a person receiving a file. 80 staff, LA, founder family still running it || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","Custom is real and promoted: hand-painted Deco Collections re-coloured to your style, hand-painted murals, and they accept custom design submissions. But submission is by hand","in scope","hand-verified on 14 Sept: PASS. Founded 1966 by Arto Alajian, run by sons Armen and Vod. About 80 people handcrafting concrete, terracotta and ceramic tile and brick on site.","Decorative / Artisan Tile","TCNA","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","It is a long story, but we made it short. 

ARTO was founded in 1966 by an Egyptian/Armenian immigrant, Arto Alajian.  Now his two sons, Armen and Vod Alajian run the business.  ARTO is known for making rustic and elegantly handmade ceramic and concrete tiles.  ARTO makes a wide range of styles. Since ARTO’s products are made to order, ARTO can customize their tiles to their customer’s tastes. Not only are the tiles made in Los Angeles and their raw materials sourced locally, but the glazes, molds, and even their shipping pallets are all made at their factory. ARTO’s reputation has grown from being a local favorite to being sold throughout the world.

80 Employees

Handcrafting Tile & Brick out of Clay ( Quarry ) & Concrete."
"KT Exclusive GmbH","kt-exclusive.com","DE","","CANDIDATE B","BASIC","3-BASIC","Custom SIZING is solved; custom DESIGN is not. The portal proves they will buy and run web tooling || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","A Tailor made page, digital murals printed to your wall's dimensions on several materials, a wallpaper quantity calculator, and the Muance B2B portal for ordering standard or custom-sized murals","in scope","hand-verified on 14 Sept: PASS. Founded 1996 as a manufacturer and editor of high-end wall coverings and fabrics. 'Editor' is the trade term for commissioning and publishing original collections, which is t","Murals & Wallcoverings","Heimtextil 2027","5M-10M","","Wholesale","KT-Exclusive is a manufacturer of wall coverings and noble fabrics."
"SQ MOSAIC","sqmosaic.com","ES","ONDA","CANDIDATE B","BASIC","3-BASIC","Pool mosaic is the MEC seed niche. Worth an eyeball on what customise your own pool actually means || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","Pool mosaic collections with textured Squamers finishes and an invitation to customise your own pool. No configurator surfaced","in scope","own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","Somos un fabricante y distribuidor mundial de mosaico vítreo con una misión clara: acercar las piscinas de diseño a todo el mundo. 

Nuestro equipo de diseño te acompaña para crear proyectos que van más allá de la simple piscina: texturas, acabados y colecciones que convierten cada espacio en una experiencia inspiradora. Además, en SQ fabricamos con 100% vidrio reciclado y embalaje sostenible. 

Bienvenido a la nueva era del mosaico vítreo."
"TONALITE","tonalite.it","IT","S. AGATA BOLOGNESE","CANDIDATE B","BASIC","3-BASIC","They sell composability in words - 16 colours, 4 formats, freely combinable decors - and give the customer a colour-search page to work it out with || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","A Cerca colore colour-finder page and a Stile su misura article. Kraklè runs 4 formats x 16 colours with many special pieces, and decors are described as variably composable into always-original graphic designs","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","Tonalite S.p.A. is a company specialized in the production and sale of ceramic tiles of high quality. Founded in 1974, Tonalite offers floors and coverings for interior and exterior developed in a wide range of sizes and colors. All product collections are equipped with decorations and special pieces to complete in an optimal way the composition in terms of aesthetics and functionality. Tonalite has always been distinguished by a continuous research aimed at improving the appearance of the tile and the achievement of high technical and quality standards, providing most demanding consumers and professionals the most suitable solution for each intended use.
The main formats are: 15x15, 7,5x15, 20x20, 30x30,10x20, 10x30, 24x60, 13x40, 6.5x40, arabesque 14,5x14,5 and hexagonal 17,5x15"
"Tile by Design, LLC","tilebydesign.net","US","Duncansville","CANDIDATE B","BASIC","3-BASIC","Exact product-category match, fast turnaround, and still no way to preview before ordering || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","Bring your own image, photograph, logo, design or idea, or choose from 1,000+ stock images. Dye-sublimation murals ship in 2 business days; kiln-fired for outdoors. A numbered installation template ships with every mural","in scope","hand-verified on 14 Sept: PASS. Domain comes from the TCNA directory listing only. No independent confirmation of a live site appeared in search, so verify the domain resolves before spending credits. TCNA ","Decorative / Artisan Tile","TCNA","1M-5M","2-10 employees","Appliances, Electrical, and Electronics Manufacturing","Tile By Design specializes in manufacturing Fine Art Tile murals using a sublimation process for indoor use, and later added 'kiln fired' tiles for more durable solutions suitable for floors, countertops, and outdoor spaces. Founded in 2004, the company offers custom tile murals, including personalized designs, border tiles, and trim options. Tile By Design focuses on creating high-quality, UV fade-proof, scratch-resistant tiles, and provides excellent customer service. They work closely with customers to bring their artistic visions to life, ensuring unique and beautiful tile installations for homes and commercial spaces."
"WOW DESIGN","wowdesigneu.com","ES","CABANES","CANDIDATE B","BASIC","3-BASIC","Same pattern as Tonalite: unlimited combinations promised, no way to try them || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","Product pages with colour selection, and the Canale collection promoted on almost unlimited placement and combination possibilities with other WOW collections","in scope","own collections or trade-facing; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","201-500 employees","Design Services","What do we do?

Wow is a Design Studio specialized in Ceramic exclusive project developments.
Always attentive to colour trends and materic finishes in combination with the latest technologies and our Creative and Design team touch, we have created our own image and recognizable style,which nowadays is already present in 42 countries worldwide.

Directly in contact with Architects and Interior Designers, we create and design the concept in our Design Studio, to develop according prototypes in our Lab. and fully produce indoors, in our 22,000 sqm facilities ""Tendencias Cerámicas"", based in Spain.

Backed with 16 years experience and an enthusiastic young team of professionals, we are in constant evolution and proud of each one of our creations.

We look after the detail through the whole process, from the concept to the moment the products are ready to serve. To achieve such a service, we have total internal control of each one of the processes and coordination between all the Departments of the great WOW family.

Let us proudly introduce you to each one of our collections, let us invite you to feel the Wow experience.."
"A.S. Création Tapeten AG","as-creation.com","DE","Gummersbach","CANDIDATE A","ADVANCED","4-ADVANCED","They have placement and personalisation already. What they do NOT have is generation. Sell the Imagine-From-Scratch half: their tool needs the customer to arrive holding an image, MEC's invents one from a sentence || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","Room visualisation at /advice-help/room-visualisation plus a configurator: upload your own image, set the format, pick the material, cut to your wall. Separate app at newwalls.as-creation.com, also mobile","in scope","hand-verified priority on 14 Sept: PASS priority. Germany's youngest and one of Europe's largest wallpaper makers, founded 1974. Over 2,000 new designs a year, ~6,000 articles across ~80 collections. Already runs a ","Murals & Wallcoverings","Heimtextil 2027","75M-200M","501-1,000 employees","Printing Services","The A.S. Création Group comprises two Divisions (segments), the Wallpaper Division and the Furnishing Fabrics Division.
The Wallpaper Division produces and markets wallpapers and borders on a global scale; accounting for more than 90% of Group sales, it is the larger of the two Divisions. The wallpapers are primarily produced in Germany at A.S. Création Tapeten AG on the site in Wiehl-Bomig. In addition, wallpapers are produced in Novoselje, Belarus. The other operating entities that form part of the Wallpaper Division are pure sales and trading companies without their own production facilities. They are based in the UK, the Netherlands, France and Russia. Headquartered in Germany, the Furnishing Fabrics Division markets curtains and furnishing fabrics and has no manufacturing resources of its own.

 A.S. Création Tapeten AG is one of the leading wallpaper manufacturer in Europe. Annually, more than 6,000 different wallpapers and borders are manufactured in all material qualities and for all application areas. A.S. Création offers its customers a wide range of services: comprehensive departmental planning, shop-fitting, ordering, decoration, individual marketing concepts, sales promotional packages, concepts for point-of-sale (POS), as well as a 24-hour delivery service."
